target_id,pdb,chain,method,split,protein_length,site_size,total_candidate_count,qualifying_candidate_exists,best_qualifying_rank,number_of_qualifying_candidates,best_jaccard,best_centroid_distance,candidate_density,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20
1a4uB,1a4u,B,fpocket,train,254,30,15,1,1,1,0.595,,0.05905511811023622,1,1,1,1,1
1a4uB,1a4u,B,p2rank,train,254,30,6,1,1,1,0.718,,0.023622047244094488,1,1,1,1,1
1a4uB,1a4u,B,ifsitepred,train,254,30,28,1,2,2,0.4,,0.11023622047244094,0,1,1,1,1
1a4uB,1a4u,B,lacuna,train,254,30,23,1,1,3,0.5,,0.09055118110236221,1,1,1,1,1
1a8dA,1a8d,A,fpocket,train,452,11,26,1,12,2,0.417,,0.05752212389380531,0,0,0,0,1
1a8dA,1a8d,A,p2rank,train,452,11,15,0,,0,0.0,,0.033185840707964605,0,0,0,0,0
1a8dA,1a8d,A,ifsitepred,train,452,11,7,0,,0,0.0,,0.015486725663716814,0,0,0,0,0
1a8dA,1a8d,A,lacuna,train,452,11,35,1,33,1,0.389,,0.07743362831858407,0,0,0,0,0
1ad1A,1ad1,A,fpocket,train,264,19,18,1,1,1,0.306,,0.06818181818181818,1,1,1,1,1
1ad1A,1ad1,A,p2rank,train,264,19,7,1,1,1,0.281,,0.026515151515151516,1,1,1,1,1
1ad1A,1ad1,A,ifsitepred,train,264,19,32,1,1,1,0.526,,0.12121212121212122,1,1,1,1,1
1ad1A,1ad1,A,lacuna,train,264,19,16,1,1,3,0.382,,0.06060606060606061,1,1,1,1,1
1ak1A,1ak1,A,fpocket,train,308,17,16,1,16,1,0.25,,0.05194805194805195,0,0,0,0,1
1ak1A,1ak1,A,p2rank,train,308,17,4,1,1,1,0.269,,0.012987012987012988,1,1,1,1,1
1ak1A,1ak1,A,ifsitepred,train,308,17,25,1,1,1,0.353,,0.08116883116883117,1,1,1,1,1
1ak1A,1ak1,A,lacuna,train,308,17,18,1,1,4,0.684,,0.05844155844155844,1,1,1,1,1
1arlA,1arl,A,fpocket,test,307,7,16,1,8,1,0.333,,0.05211726384364821,0,0,0,1,1
1arlA,1arl,A,p2rank,test,307,7,4,0,,0,0.231,,0.013029315960912053,0,0,0,0,0
1arlA,1arl,A,ifsitepred,test,307,7,18,1,2,3,0.667,,0.05863192182410423,0,1,1,1,1
1arlA,1arl,A,lacuna,test,307,7,19,0,,0,0.227,,0.06188925081433225,0,0,0,0,0
